flight,image,filename
Flight01,/content/drive/My Drive/train_images_pinv0123_2/train/images/Flight01/DJI_20241216092009_0024_T.JPG,DJI_20241216092009_0024_T.JPG
Flight01,/content/drive/My Drive/train_images_pinv0123_2/train/images/Flight01/DJI_20241216092012_0025_T.JPG,DJI_20241216092012_0025_T.JPG
Flight01,/content/drive/My Drive/train_images_pinv0123_2/train/images/Flight01/DJI_20241216092015_0026_T.JPG,DJI_20241216092015_0026_T.JPG
Flight01,/content/drive/My Drive/train_images_pinv0123_2/train/images/Flight01/DJI_20241216092018_0027_T.JPG,DJI_20241216092018_0027_T.JPG
Flight01,/content/drive/My Drive/train_images_pinv0123_2/train/images/Flight01/DJI_20241216092024_0029_T.JPG,DJI_20241216092024_0029_T.JPG
Flight01,/content/drive/My Drive/train_images_pinv0123_2/train/images/Flight01/DJI_20241216181423_0005_T.JPG,DJI_20241216181423_0005_T.JPG
Flight01,/content/drive/My Drive/train_images_pinv0123_2/train/images/Flight01/DJI_20241216181425_0006_T.JPG,DJI_20241216181425_0006_T.JPG
Flight01,/content/drive/My Drive/train_images_pinv0123_2/train/images/Flight01/DJI_20241216181429_0007_T.JPG,DJI_20241216181429_0007_T.JPG
Flight01,/content/drive/My Drive/train_images_pinv0123_2/train/images/Flight01/DJI_20241216181431_0008_T.JPG,DJI_20241216181431_0008_T.JPG
Flight01,/content/drive/My Drive/train_images_pinv0123_2/train/images/Flight01/DJI_20241216181435_0009_T.JPG,DJI_20241216181435_0009_T.JPG
Flight01,/content/drive/My Drive/train_images_pinv0123_2/train/images/Flight01/DJI_20241216181437_0010_T.JPG,DJI_20241216181437_0010_T.JPG
Flight01,/content/drive/My Drive/train_images_pinv0123_2/train/images/Flight01/DJI_20241216181441_0011_T.JPG,DJI_20241216181441_0011_T.JPG
Flight01,/content/drive/My Drive/train_images_pinv0123_2/train/images/Flight01/DJI_20241216181444_0012_T.JPG,DJI_20241216181444_0012_T.JPG
Flight01,/content/drive/My Drive/train_images_pinv0123_2/train/images/Flight01/DJI_20241216181447_0013_T.JPG,DJI_20241216181447_0013_T.JPG
Flight01,/content/drive/My Drive/train_images_pinv0123_2/train/images/Flight01/DJI_20241216181449_0014_T.JPG,DJI_20241216181449_0014_T.JPG
Flight01,/content/drive/My Drive/train_images_pinv0123_2/train/images/Flight01/DJI_20241216181452_0015_T.JPG,DJI_20241216181452_0015_T.JPG
